domain,key,en,ko,aliases
tree_dn,10738,Mana Mastery,마나 숙련,
tree_dn,10742,Minion Attack and Cast Speed,소환수 공격 및 시전 속도,
tree_dn,10772,Bloodthirsty,Bloodthirsty,
tree_dn,10774,Unyielding,Unyielding,
tree_dn,10783,Sword Damage,Sword 피해,
tree_dn,10830,Armour,방어도,
tree_dn,10835,Banner Duration,깃발 지속시간,
tree_dn,10841,Caster Mastery,시전자 숙련,
tree_dn,1087,Shockwaves,Shockwaves,
tree_dn,10873,Bestial Rage,Bestial 격노,
tree_dn,10881,Focus Energy Shield,집중구 에너지 보호막,
tree_dn,10909,Attribute,능력치,
tree_dn,1091,Chill Effect on You,냉각 효과 시 You,
tree_dn,10927,Pin Duration,Pin 지속시간,
tree_dn,10944,Evasion and Energy Shield,회피 및 에너지 보호막,
tree_dn,10987,Now and Again,Now 및 Again,
tree_dn,10998,Strong Chin,Strong Chin,
tree_dn,110,Internal Layer,Internal Layer,
tree_dn,11014,Totem Mastery,토템 숙련,
tree_dn,11015,Hazard Damage,Hazard 피해,
tree_dn,11027,Endurance Charge Duration and Armour,인내 충전 지속시간 및 방어도,
tree_dn,11030,Energy Shield Delay,에너지 보호막 Delay,
tree_dn,11032,Evasion and Energy Shield Mastery,회피 및 에너지 보호막 숙련,
tree_dn,11037,Volatile Catalyst,Volatile Catalyst,
tree_dn,1104,Lust for Power,욕망 동안 권능,
tree_dn,11048,Minion Damage and Duration,소환수 피해 및 지속시간,
tree_dn,11066,Cooldown Recovery Rate,Cooldown Recovery Rate,
tree_dn,11087,Channelling Damage,집중 유지 피해,
tree_dn,11094,Charm Effect,참 효과,
tree_dn,11153,Attack Speed and Accuracy,공격 속도 및 정확도,
tree_dn,11160,Relinquish Your Life,Relinquish Your 생명력,
tree_dn,11178,Whirling Onslaught,Whirling Onslaught,
tree_dn,11230,Ritual Cadence,Ritual Cadence,
tree_dn,11248,Attribute,능력치,
tree_dn,11252,Attack Area,공격 범위,
tree_dn,11257,Evasion while Surrounded,회피 동안 포위,
tree_dn,11275,Fire Penetration,화염 Penetration,
tree_dn,11284,Infusion Duration,Infusion 지속시간,
tree_dn,11292,Totem Placement Speed,토템 Placement 속도,
tree_dn,1130,Flail Damage,도리깨 피해,
tree_dn,11306,Axe Rage on Hit,Axe 격노 시 명중,
tree_dn,11311,Armour and Evasion,방어도 및 회피,
tree_dn,11315,Lightning Damage,번개 피해,
tree_dn,11329,Life Regeneration,생명력 재생,
tree_dn,11330,Debuff Expiry Rate,Debuff Expiry Rate,
tree_dn,11335,Passive Point,Passive Point,
tree_dn,11337,Chill Magnitude,냉각 Magnitude,
tree_dn,11366,Volcanic Skin,Volcanic Skin,
tree_dn,11376,Necrotic Touch,Necrotic Touch,
tree_dn,11392,Molten Being,Molten Being,
tree_dn,1140,Attribute,능력치,
tree_dn,11428,Exhaust All Power,Exhaust 모든 권능,
tree_dn,1143,Spell Critical Damage,주문 치명타 피해,
tree_dn,11433,Fire Damage,화염 피해,
tree_dn,1144,Accuracy,정확도,
tree_dn,11463,Presence Area,Presence 범위,
tree_dn,11464,Movement Speed,이동 속도,
tree_dn,11472,Evasion if Consumed Frenzy Charge,회피 if Consumed 격분 충전,
tree_dn,11504,Attack Speed and Dexterity,공격 속도 및 Dexterity,
tree_dn,11505,Fire Mastery,화염 숙련,
tree_dn,11509,Critical Chance,치명타 확률,
tree_dn,1151,Freeze Buildup,동결 누적,
tree_dn,11525,Flammability and Ignite Magnitude,Flammability 및 점화 Magnitude,
tree_dn,11526,Sniper,Sniper,
tree_dn,11572,Arcane Surge Effect and Life Regeneration,Arcane Surge 효과 및 생명력 재생,
tree_dn,11578,Spreading Shocks,Spreading Shocks,
tree_dn,11580,Life Regeneration Rate,생명력 재생 Rate,
tree_dn,11598,Quarterstaff Speed,육척봉 속도,
tree_dn,116,Insightfulness,Insightfulness,
tree_dn,11604,Attribute,능력치,
tree_dn,11641,Crystalline Potential,Crystalline Potential,
tree_dn,11656,Rage when Hit,격노 when 명중,
tree_dn,11666,Reduced Movement Penalty,감소 이동 Penalty,
tree_dn,11667,Immobilisation Buildup,Immobilisation 누적,
tree_dn,11672,Attribute,능력치,
tree_dn,11679,Attribute,능력치,
tree_dn,1169,Urgent Call,Urgent 부름,
tree_dn,1170,Area Damage,범위 피해,
tree_dn,11722,Seal Generation Frequency,Seal Generation Frequency,
tree_dn,11736,Lightning Damage,번개 피해,
tree_dn,11741,Attribute,능력치,
tree_dn,11752,Banner Duration,깃발 지속시간,
tree_dn,11764,Debuff Expiry,Debuff Expiry,
tree_dn,11771,Skill Speed,Skill 속도,
tree_dn,11774,The Spring Hare,The Spring Hare,
tree_dn,11776,Physical Damage,물리 피해,
tree_dn,11786,Armour,방어도,
tree_dn,11788,Spell Area Damage,주문 범위 피해,
tree_dn,11813,Evasion,회피,
tree_dn,11825,Attribute,능력치,
tree_dn,11826,Heavy Ammunition,Heavy Ammunition,
tree_dn,11836,Critical vs Blinded,치명타 상대 실명,
tree_dn,11838,Dreamcatcher,Dreamcatcher,
tree_dn,11855,Accuracy,정확도,
tree_dn,11861,Strength and Spell Damage,Strength 및 주문 피해,
tree_dn,11871,Blind Chance,Blind 확률,
tree_dn,11873,Lightning Damage and Mana Regeneration,번개 피해 및 마나 재생,
tree_dn,11882,Ailment Chance,상태 이상 확률,
tree_dn,11886,Mauling Stuns,Mauling Stuns,
tree_dn,11916,Life Regeneration,생명력 재생,
tree_dn,11938,Mana Regeneration,마나 재생,
tree_dn,11980,Block,막기,
tree_dn,11984,Physical Damage,물리 피해,
tree_dn,1200,Attribute,능력치,
tree_dn,12000,Mysterious Lineage,Mysterious Lineage,
tree_dn,12005,Shapeshifting Mastery,Shapeshifting 숙련,
tree_dn,12033,Endless Munitions,Endless Munitions,
tree_dn,1205,Poison Mastery,독 숙련,
tree_dn,12054,Totem Damage,토템 피해,
tree_dn,12066,Aura Magnitude,오라 Magnitude,
tree_dn,1207,Attribute,능력치,
tree_dn,12078,Projectile Damage,투사체 피해,
tree_dn,12116,Parry Area,Parry 범위,
tree_dn,12120,Slow Effect on You,Slow 효과 시 You,
tree_dn,12125,Life Mastery,생명력 숙련,
tree_dn,1214,Block and Shield Defences,막기 및 방패 Defences,
tree_dn,1215,Evasion and Energy Shield Mastery,회피 및 에너지 보호막 숙련,
tree_dn,12166,Cast Speed with Cold Skills,시전 속도 보유 냉기 Skills,
tree_dn,12169,Physical Mastery,물리 숙련,
tree_dn,12174,Ailment Magnitude,상태 이상 Magnitude,
tree_dn,1218,Minion Life,소환수 생명력,
tree_dn,12183,Passive Points,Passive Points,
tree_dn,12189,Plant Skill Damage,Plant Skill 피해,
tree_dn,1220,Minion Offence Mastery,소환수 Offence 숙련,
tree_dn,12208,Life Flasks,생명력 Flasks,
tree_dn,12232,Channelling Damage and Defences,집중 유지 피해 및 Defences,
tree_dn,12239,Physical Mastery,물리 숙련,
tree_dn,12245,Arsonist,Arsonist,
tree_dn,12249,Evasion and Energy Shield,회피 및 에너지 보호막,
tree_dn,12253,Attribute,능력치,
tree_dn,12255,Life Flasks,생명력 Flasks,
tree_dn,12276,Mace Aftershock Chance,Mace 여진 확률,
tree_dn,12311,Crossbow Reload Speed,쇠뇌 Reload 속도,
tree_dn,12322,Flask and Charm Charges Gained,플라스크 및 참 충전 획득,
tree_dn,12324,Infusion Chance,Infusion 확률,
tree_dn,12329,Hazard Damage,Hazard 피해,
tree_dn,12337,Flash Storm,Flash 폭풍,
tree_dn,12367,Chaos Damage,카오스 피해,
tree_dn,12382,Life Mastery,생명력 숙련,
tree_dn,12412,Temporal Mastery,Temporal 숙련,
tree_dn,12418,Empowered Attack Damage,Empowered 공격 피해,
tree_dn,12419,Chaos Damage and Duration,카오스 피해 및 지속시간,
tree_dn,12430,Melee Damage,근접 피해,
tree_dn,12451,Cooldown Recovery Rate,Cooldown Recovery Rate,
tree_dn,12462,Aura Effect,오라 효과,
tree_dn,12465,Armour Break,방어도 파괴,
tree_dn,12471,Attack Elemental Damage,공격 원소 피해,
tree_dn,12488,Remnant Range,Remnant Range,
tree_dn,12498,Quiver Effect,화살통 효과,
tree_dn,12526,Ailment Threshold,상태 이상 한계값,
tree_dn,12565,Thorns and Block,Thorns 및 막기,
tree_dn,12601,Gain Maximum Endurance Charges on Gaining Endurance Charge,획득 최대 인내 충전 시 Gaining 인내 충전,
tree_dn,12610,Energy,에너지,
tree_dn,12611,Harness the Elements,Harness the Elements,
tree_dn,12661,Asceticism,Asceticism,
tree_dn,12683,Power of the Storm,권능의 the 폭풍,
tree_dn,12750,Vale Shelter,Vale Shelter,
tree_dn,12751,One Handed Critical Chance,One Handed 치명타 확률,
tree_dn,12761,Evasion and Energy Shield,회피 및 에너지 보호막,
tree_dn,12777,Armour and Energy Shield,방어도 및 에너지 보호막,
tree_dn,12778,Spell Critical Chance,주문 치명타 확률,
tree_dn,12786,Aura Mastery,오라 숙련,
tree_dn,12795,Path of the Sorceress,Path의 the Sorceress,
tree_dn,12800,Evasion while Sprinting,회피 동안 Sprinting,
tree_dn,12817,Shield Defences,방패 Defences,
tree_dn,12821,Banner Glory Gained,깃발 Glory 획득,
tree_dn,12822,Adaptable Assault,Adaptable Assault,
tree_dn,12851,Physical Damage,물리 피해,
tree_dn,1286,Thorns,Thorns,
tree_dn,12876,Faith is a Choice,Faith is a Choice,
tree_dn,12882,Tempest Caller,Tempest Caller,
tree_dn,12890,Attribute,능력치,
tree_dn,12906,Sitting Duck,Sitting Duck,
tree_dn,12918,Energy Shield Recharge,에너지 보호막 재충전,
tree_dn,12925,Shock Chance,감전 확률,
tree_dn,12940,Cower Before the First Ones,Cower Before the First Ones,
tree_dn,12964,Lone Warrior,Lone 전사,
tree_dn,12992,Lightning Penetration,번개 Penetration,
tree_dn,12998,Warm the Heart,Warm the Heart,
tree_dn,13030,Faster Ailments,Faster 상태 이상,
tree_dn,13065,Triggered Spell Damage,Triggered 주문 피해,
tree_dn,13075,Strength,Strength,
tree_dn,13081,Projectile Damage,투사체 피해,
tree_dn,13108,Ally Attack and Cast Speed,동료 공격 및 시전 속도,
tree_dn,13157,Life Flasks,생명력 Flasks,
tree_dn,13171,Totem Physical Damage Reduction,토템 물리 피해 Reduction,
tree_dn,13174,Pyromantic Pact,Pyromantic Pact,
tree_dn,13228,Gain Maximum Power Charges on Gaining Power Charge,획득 최대 권능 충전 시 Gaining 권능 충전,
tree_dn,13233,Radial Force,Radial Force,
tree_dn,13241,Attribute,능력치,
tree_dn,13279,Attribute,능력치,
tree_dn,13289,Barya of Kelari,Barya의 Kelari,
tree_dn,13293,Armour,방어도,
tree_dn,13294,Duration,지속시간,
tree_dn,13307,Stun and Ailment Threshold from Energy Shield,기절 및 상태 이상 한계값에서 에너지 보호막,
tree_dn,13333,Cold Damage,냉기 피해,
tree_dn,13341,Frenzy Charge Duration,격분 충전 지속시간,
tree_dn,13352,Glory Generation and Attack Damage,Glory Generation 및 공격 피해,
tree_dn,13356,One Handed Damage,One Handed 피해,
tree_dn,13359,Cold Damage and Energy Shield Recharge Rate,냉기 피해 및 에너지 보호막 재충전 Rate,
tree_dn,13367,Accuracy,정확도,
tree_dn,13379,Stun Threshold during Parry,기절 한계값 during Parry,
tree_dn,13387,Elemental Mastery,원소 숙련,
tree_dn,13397,Attribute,능력치,
tree_dn,13407,Heartbreaking,Heartbreaking,
tree_dn,13411,Attribute,능력치,
tree_dn,13419,Critical Damage,치명타 피해,
tree_dn,13425,Bleeding Duration,출혈 지속시간,
tree_dn,13457,Shadow Dancing,Shadow Dancing,
tree_dn,13468,Give Up Your Essence,Give Up Your Essence,
tree_dn,1347,Skill Speed,Skill 속도,
tree_dn,13474,One Handed Damage,One Handed 피해,
tree_dn,13482,Punctured Lung,Punctured Lung,
tree_dn,13500,Mana Recoup,마나 회생,
tree_dn,13505,Resilient Soul,Resilient Soul,
tree_dn,13515,Stormwalker,Stormwalker,
tree_dn,1352,Unbending,Unbending,
tree_dn,13524,Everlasting Glory,Everlasting Glory,
tree_dn,13537,Energy Shield,에너지 보호막,
tree_dn,13542,Loose Flesh,Loose Flesh,
tree_dn,13562,Life Regeneration on Low Life,생명력 재생 시 Low 생명력,
tree_dn,13576,Lightning Skill Speed,번개 Skill 속도,
tree_dn,13610,Faster Ignites and Flammability Magnitude,Faster Ignites 및 Flammability Magnitude,
tree_dn,13619,Life Flask Charges,생명력 플라스크 충전,
tree_dn,13624,Mark Duration,징표 지속시간,
tree_dn,13634,Offering Duration,공물 지속시간,
tree_dn,13673,Chill Duration,냉각 지속시간,
tree_dn,13691,Totem Mastery,토템 숙련,
tree_dn,13701,Freeze and Chill Resistance,동결 및 냉각 저항,
tree_dn,13708,Curved Weapon,Curved 무기,
tree_dn,13711,Evasion and Energy Shield,회피 및 에너지 보호막,
tree_dn,13715,Stun Buildup,기절 누적,
tree_dn,13724,Deadly Force,Deadly Force,
tree_dn,13738,Lightning Quick,번개 Quick,
tree_dn,13748,Elemental Damage,원소 피해,
tree_dn,13769,Mana Regeneration,마나 재생,
tree_dn,13772,Flowing Metal,Flowing Metal,
tree_dn,13777,Power Charge Duration and Energy Shield,권능 충전 지속시간 및 에너지 보호막,
tree_dn,13783,Ailment Chance,상태 이상 확률,
tree_dn,13799,Attack Damage and Slow Effect,공격 피해 및 Slow 효과,
tree_dn,13823,Controlling Magic,Controlling Magic,
tree_dn,13828,Evasion,회피,
tree_dn,13839,Totem Damage,토템 피해,
tree_dn,13845,Rage on Hit,격노 시 명중,
tree_dn,13855,Armour and Energy Shield,방어도 및 에너지 보호막,
tree_dn,13856,Ailment Effect,상태 이상 효과,
tree_dn,13862,Mana Mastery,마나 숙련,
tree_dn,13882,Infusion Mastery,Infusion 숙련,
tree_dn,13893,Fire Penetration and Stun Buildup,화염 Penetration 및 기절 누적,
tree_dn,13895,Precise Point,Precise Point,
tree_dn,13909,Remnant Pickup Range,Remnant Pickup Range,
tree_dn,13937,Mace Damage,Mace 피해,
tree_dn,13942,Armour,방어도,
tree_dn,13950,Reduced Movement Penalty,감소 이동 Penalty,
tree_dn,13980,Split the Earth,Split the Earth,
tree_dn,13987,Melee Attack Speed,근접 공격 속도,
tree_dn,14001,Charm Charges Used,참 충전 Used,
tree_dn,14026,Shapeshifted Damage against Immobilised,Shapeshifted 피해 against Immobilised,
tree_dn,14033,Spell and Minion Damage,주문 및 소환수 피해,
tree_dn,14045,Projectile Damage,투사체 피해,
tree_dn,14048,Mana Regeneration while not on Low Mana,마나 재생 동안 not 시 Low 마나,
tree_dn,14082,Physical Damage,물리 피해,
tree_dn,14091,Armour Break and Physical Damage,방어도 파괴 및 물리 피해,
tree_dn,14096,Cast Speed,시전 속도,
tree_dn,14110,Totem Damage,토템 피해,
tree_dn,14113,Caster Mastery,시전자 숙련,
tree_dn,14127,Reduced Duration,감소 지속시간,
tree_dn,14131,Ruzhan's Fury,Ruzhan's Fury,
tree_dn,1416,Attack Mastery,공격 숙련,
tree_dn,14176,Later Rage Loss Start,Later 격노 Loss Start,
tree_dn,1420,Dizzying Sweep,Dizzying Sweep,
tree_dn,14205,Rage on Ignite,격노 시 점화,
tree_dn,14211,Shredding Contraptions,Shredding Contraptions,
tree_dn,14226,Dance with Death,Dance 보유 Death,
tree_dn,14231,Triggered Spell Damage,Triggered 주문 피해,
tree_dn,14254,Attack Speed,공격 속도,
tree_dn,14262,Attribute,능력치,
tree_dn,14267,Attribute,능력치,
tree_dn,14272,Spell Suppression Mastery,주문 Suppression 숙련,
tree_dn,14294,Sacrificial Blood,Sacrificial 피,
tree_dn,14324,Arcane Blossom,Arcane Blossom,
tree_dn,14328,Energy Shield and Armour applies to Elemental Damage Hits,에너지 보호막 및 방어도 applies에 원소 피해 명중,
tree_dn,1433,Attribute,능력치,
tree_dn,14340,Attribute,능력치,
tree_dn,14342,Armour and Energy Shield,방어도 및 에너지 보호막,
tree_dn,14343,Deterioration,Deterioration,
tree_dn,14355,Spell Area Damage,주문 범위 피해,
tree_dn,14363,Lightning Penetration,번개 Penetration,
tree_dn,14383,Suffusion,Suffusion,
tree_dn,144,Elemental Damage and Freeze Buildup,원소 피해 및 동결 누적,
tree_dn,14418,Evasion,회피,
tree_dn,1442,Attributes,능력치,
tree_dn,14428,Intelligence,지능,
tree_dn,14429,Advanced Thaumaturgy,Advanced Thaumaturgy,
tree_dn,14432,Lunar Boon,Lunar 은혜,
tree_dn,14439,Armour and Energy Shield,방어도 및 에너지 보호막,
tree_dn,14446,Attribute,능력치,
tree_dn,14459,Thorn Critical Damage,Thorn 치명타 피해,
tree_dn,1447,Minion Damage,소환수 피해,
tree_dn,14505,Minion Offence Mastery,소환수 Offence 숙련,
tree_dn,14508,Poison Effect,독 효과,
tree_dn,14509,Rage on Melee Hit,격노 시 근접 명중,
tree_dn,14511,Melee and Stun,근접 및 기절,
tree_dn,14515,Jagged Ground Effect,Jagged Ground 효과,
tree_dn,14539,Deflection and Evasion,Deflection 및 회피,
tree_dn,14540,Unwavering Stance,Unwavering Stance,
tree_dn,14548,Minion Life,소환수 생명력,
tree_dn,14572,Cooldown Recovery Rate,Cooldown Recovery Rate,
tree_dn,14575,Minion Lightning Resistance,소환수 번개 저항,
tree_dn,1459,Mana Regeneration,마나 재생,
tree_dn,14601,Elemental Mastery,원소 숙련,
tree_dn,14602,Specialised Shots,Specialised Shots,
tree_dn,14654,Attribute,능력치,
tree_dn,14655,Armour and Applies to Fire Damage,방어도 및 Applies에 화염 피해,
tree_dn,14658,Attribute,능력치,
tree_dn,14666,Energy Shield Recharge,에너지 보호막 재충전,
tree_dn,1468,Mana Regeneration,마나 재생,
tree_dn,14693,Mace Damage,Mace 피해,
tree_dn,14712,Minion Life,소환수 생명력,
tree_dn,14724,Shock Duration,감전 지속시간,
tree_dn,14725,Skill Speed,Skill 속도,
tree_dn,14739,Energy Shield Delay,에너지 보호막 Delay,
tree_dn,14761,Warlord Leader,Warlord Leader,
tree_dn,14769,Dexterity,Dexterity,
tree_dn,1477,Projectile Mastery,투사체 숙련,
tree_dn,14777,Bravado,Bravado,
tree_dn,14832,Mace Mastery,Mace 숙련,
tree_dn,14882,Poison Damage,독 피해,
tree_dn,14890,Chill Magnitude and Duration,냉각 Magnitude 및 지속시간,
tree_dn,14923,Attack Mastery,공격 숙련,
tree_dn,14926,Life Regeneration,생명력 재생,
tree_dn,14934,Spiral into Mania,Spiral into Mania,
tree_dn,14945,Growing Swarm,Growing Swarm,
tree_dn,14952,Skill Effect Duration,Skill 효과 지속시간,
tree_dn,14958,Critical Chance,치명타 확률,
tree_dn,14960,Fire Resistance,화염 저항,
tree_dn,14980,Elemental Mastery,원소 숙련,
tree_dn,1499,Life Regeneration,생명력 재생,
tree_dn,14996,Shapeshifting Stun Buildup,Shapeshifting 기절 누적,
tree_dn,14997,Two Handed Damage,Two Handed 피해,
tree_dn,1502,Draiocht Cleansing,Draiocht Cleansing,
tree_dn,15030,Consistent Intake,Consistent Intake,
tree_dn,15044,A Solid Plan,A Solid Plan,
tree_dn,1506,Remnant Attraction,Remnant Attraction,
tree_dn,15083,Power Conduction,권능 Conduction,
tree_dn,151,Accuracy,정확도,
tree_dn,15114,Boundless Growth,Boundless Growth,
tree_dn,1514,Attack Mastery,공격 숙련,
tree_dn,15141,Impale Chance,Impale 확률,
tree_dn,15180,Spell Hinder,주문 Hinder,
tree_dn,15182,Attribute,능력치,
tree_dn,15194,Minion Fire Resistance,소환수 화염 저항,
tree_dn,15207,Accuracy and Attack Damage,정확도 및 공격 피해,
tree_dn,15247,Empowered Attack Damage,Empowered 공격 피해,
tree_dn,15270,Attack Mastery,공격 숙련,
tree_dn,15275,Totem Cast and Attack Speed,토템 시전 및 공격 속도,
tree_dn,15301,Accuracy,정확도,
tree_dn,15304,Cast Speed,시전 속도,
tree_dn,15356,Lightning Penetration,번개 Penetration,
tree_dn,15358,Minion Life,소환수 생명력,
tree_dn,15374,Hale Heart,Hale Heart,
tree_dn,15408,Energy Shield,에너지 보호막,
tree_dn,15424,Stun Threshold,기절 한계값,
tree_dn,15427,Melee Damage,근접 피해,
tree_dn,1543,Cast Speed,시전 속도,
tree_dn,15443,Endured Suffering,Endured Suffering,
tree_dn,1546,Spiral into Depression,Spiral into Depression,
tree_dn,15494,Fire Damage when consuming an Endurance Charge,화염 피해 when consuming an 인내 충전,
tree_dn,15507,Attribute,능력치,
tree_dn,15522,Ignite Magnitude,점화 Magnitude,
tree_dn,15580,Damage and Minion Damage,피해 및 소환수 피해,
tree_dn,15590,Detonator Area,Detonator 범위,
tree_dn,15606,Thrill of the Fight,Thrill의 the Fight,
tree_dn,15617,Heavy Drinker,Heavy Drinker,
tree_dn,15618,Spell Critical Damage,주문 치명타 피해,
tree_dn,15625,Evasion,회피,
tree_dn,15628,Arcane Surge Effect,Arcane Surge 효과,
tree_dn,15644,Shedding Skin,Shedding Skin,
tree_dn,15672,Totem Elemental Resistance,토템 원소 저항,
tree_dn,15698,Freeze Buildup,동결 누적,
tree_dn,15775,Attribute,능력치,
tree_dn,15782,Attribute,능력치,
tree_dn,1579,Cooldown Recovery Rate,Cooldown Recovery Rate,
tree_dn,15809,Minion Critical Chance,소환수 치명타 확률,
tree_dn,15814,Evasion while Sprinting,회피 동안 Sprinting,
tree_dn,15829,Siphon,Siphon,
tree_dn,1583,Pathfinder,Pathfinder,
tree_dn,15838,Ailment Chance,상태 이상 확률,
tree_dn,15839,Ailment Duration,상태 이상 지속시간,
tree_dn,15842,Minion Mastery,소환수 숙련,
tree_dn,15855,Sword Damage,Sword 피해,
tree_dn,15876,Energy Shield as Freeze Threshold,에너지 보호막 as 동결 한계값,
tree_dn,15885,Attribute,능력치,
tree_dn,15892,Damage vs Armour Broken Enemies,피해 상대 방어도 Broken Enemies,
tree_dn,15899,Bleeding Damage,출혈 피해,
tree_dn,15913,Area of Effect and Damage,범위의 효과 및 피해,
tree_dn,15969,Damage against Ailments,피해 against 상태 이상,
tree_dn,15975,Evasion and Energy Shield,회피 및 에너지 보호막,
tree_dn,15984,Lightning Mastery,번개 숙련,
tree_dn,15986,Building Toxins,Building Toxins,
tree_dn,1599,Physical Damage and Critical Chance,물리 피해 및 치명타 확률,
tree_dn,15991,Embodiment of Lightning,Embodiment의 번개,
tree_dn,16,Life Flask Charges,생명력 플라스크 충전,
tree_dn,16013,Daze on Hit,Daze 시 명중,
tree_dn,16024,Invocation Critical Damage,Invocation 치명타 피해,
tree_dn,1603,Storm Driven,폭풍 Driven,
tree_dn,16051,Totem Attack Speed,토템 공격 속도,
tree_dn,16084,One Handed Damage,One Handed 피해,
tree_dn,16090,Life Costs,생명력 Costs,
tree_dn,16100,Evasion,회피,
tree_dn,16111,Attack Damage while Surrounded,공격 피해 동안 포위,
tree_dn,16114,Aura Mastery,오라 숙련,
tree_dn,16121,Energy,에너지,
tree_dn,16123,Critical Mastery,치명타 숙련,
tree_dn,16140,Daze on Hit,Daze 시 명중,
tree_dn,16142,Deep Freeze,Deep 동결,
tree_dn,16150,Inspiring Ally,Inspiring 동료,
tree_dn,16168,Attribute,능력치,
tree_dn,16204,Sacred Flow,Sacred Flow,
tree_dn,16249,Watch How I Do It,Watch How I Do It,
tree_dn,16256,Ether Flow,Ether Flow,
tree_dn,16276,Kitavan Imprint,Kitavan Imprint,
tree_dn,1628,Stun Threshold,기절 한계값,
tree_dn,1631,Charm Duration,참 지속시간,
tree_dn,16311,Life Regeneration,생명력 재생,
tree_dn,16329,Flask Charges Used,플라스크 충전 Used,
tree_dn,16332,Stun Threshold,기절 한계값,
tree_dn,16347,Maximum Rage,최대 격노,
tree_dn,16367,Elemental Damage,원소 피해,
tree_dn,16385,Banner Glory Gained,깃발 Glory 획득,
tree_dn,16401,Lightning Damage and Electrocute Buildup,번개 피해 및 Electrocute 누적,
tree_dn,16413,Attack and Minion Damage,공격 및 소환수 피해,
tree_dn,16433,Path Seeker,Path Seeker,
